Feature Id,Importances
G2,51.16778323867623
G1,12.72738495279462
absences,10.598344240615647
class,2.7874946428417213
failures,2.319498249580634
freetime,1.6333191555058597
age,1.6006393033541326
Mjob,1.5157443708182616
reason,1.4749953309568045
guardian,1.4628530712484837
Walc,1.3574953001792216
famrel,1.1844278029050266
Dalc,1.0315144552624629
Fjob,0.9687495888347422
Medu,0.9347149075542495
traveltime,0.8705852983664517
health,0.8124022075128563
goout,0.7542291872571497
schoolsup,0.7335669780053061
studytime,0.6969532656964782
Fedu,0.6164188189203981
famsup,0.5739801555510269
sex,0.39340645985606215
nursery,0.3292599429868028
school,0.2702130537028698
romantic,0.2047677038057944
internet,0.20387585709350553
activities,0.1757621114675549
famsize,0.1446689804634646
paid,0.14348047699371755
higher,0.1416867293645716
address,0.14112092443897759
Pstatus,0.02866323738886872
