Feature Id,Importances
G2,52.68254805184821
G1,11.533101073242028
absences,10.259846062851338
class,2.926234411201294
failures,2.743185340891353
Mjob,1.8415449985933383
reason,1.6750866883860924
age,1.3588214363305833
Walc,1.2711356206354825
guardian,1.257247092537431
freetime,1.2521168725344076
Medu,1.160891348485601
goout,1.1209641139439461
famrel,0.9567505880764249
Dalc,0.9051294645829523
Fjob,0.8948517257360165
traveltime,0.8724272805563226
health,0.8463829929679683
schoolsup,0.7434508975639357
studytime,0.6383724735887353
Fedu,0.52886808252221
school,0.34100905682603627
famsup,0.3245003508536921
romantic,0.31894610874660834
nursery,0.318824026724161
activities,0.2644862759585651
higher,0.2209072316244994
internet,0.21277914436806417
sex,0.14845039884950964
famsize,0.14769887175228524
address,0.12108983111154281
paid,0.07904662167504364
Pstatus,0.033305464434301435
