iter	Passed	Remaining
402	11768	2832
403	11793	2802
404	11817	2771
405	11839	2741
406	11866	2711
407	11889	2681
408	11917	2651
409	11939	2620
410	11963	2590
411	11987	2560
412	12012	2530
413	12036	2500
414	12065	2471
415	12102	2443
416	12136	2415
417	12164	2386
418	12195	2357
419	12241	2331
420	12279	2304
421	12309	2275
422	12349	2248
423	12376	2218
424	12421	2191
425	12463	2165
426	12492	2135
427	12515	2105
428	12539	2075
429	12561	2044
430	12584	2014
431	12608	1984
432	12630	1954
433	12655	1924
434	12679	1894
435	12703	1864
436	12726	1834
437	12749	1804
438	12774	1775
439	12798	1745
440	12822	1715
441	12845	1685
442	12871	1656
443	12895	1626
444	12917	1596
445	12941	1566
446	12965	1537
447	12990	1507
448	13014	1478
449	13043	1449
450	13070	1420
451	13108	1392
452	13137	1363
453	13163	1333
454	13190	1304
455	13224	1276
456	13256	1247
457	13300	1219
458	13324	1190
459	13359	1161
460	13384	1132
461	13408	1102
462	13432	1073
463	13464	1044
464	13492	1015
465	13520	986
466	13550	957
467	13585	928
468	13615	899
469	13653	871
470	13697	843
471	13727	814
472	13754	785
473	13778	755
474	13802	726
475	13830	697
476	13853	667
477	13875	638
478	13900	609
479	13923	580
480	13947	550
481	13972	521
482	13996	492
483	14019	463
484	14046	434
485	14069	405
486	14100	376
487	14135	347
488	14157	318
489	14180	289
490	14204	260
491	14235	231
492	14260	202
493	14286	173
494	14311	144
495	14341	115
496	14378	86
497	14405	57
498	14430	28
499	14457	0
