iter	RMSE
131	1.017363779
132	1.013783515
133	1.012785761
134	1.011983532
135	1.010201305
136	1.007729041
137	1.00565405
138	1.001676299
139	0.9989573695
140	0.9950785679
141	0.9923922407
142	0.9909061392
143	0.9885021109
144	0.9868711852
145	0.9836314916
146	0.9818032242
147	0.9814613113
148	0.9801954731
149	0.9772860662
150	0.9755086215
151	0.9740489412
152	0.9728016361
153	0.9725178495
154	0.972329631
155	0.9706760796
156	0.9682886981
157	0.9674253741
158	0.9660625692
159	0.9644225793
160	0.9625719909
161	0.960751457
162	0.960310281
163	0.9587638825
164	0.9578743521
165	0.9562803685
166	0.9529121792
167	0.9509908142
168	0.9502050035
169	0.949971355
170	0.9490717382
171	0.9462854516
172	0.9450974967
173	0.9425323657
174	0.94126016
175	0.9396648471
176	0.93812822
177	0.9351175627
178	0.9347541801
179	0.9336436723
180	0.9335403866
181	0.9309228061
182	0.9288787975
183	0.9269558219
184	0.9256276181
185	0.9233250736
186	0.922649648
187	0.9210820669
188	0.9195138337
189	0.918924901
190	0.9167692762
191	0.9158639438
192	0.914242062
193	0.9112023493
194	0.9110899263
195	0.9107863009
196	0.9103865338
197	0.9100669089
198	0.9067244046
199	0.9055851384
200	0.9042628314
201	0.9026980837
202	0.8992379955
203	0.8970506791
204	0.8938854875
205	0.8921786558
206	0.8912610796
207	0.8889815498
208	0.8883105817
209	0.8877436448
210	0.887001386
211	0.8859685322
212	0.8853703631
213	0.8829025287
214	0.8787086977
215	0.8777735741
216	0.8761222909
217	0.8749730307
218	0.8733245012
219	0.8729799625
220	0.872549804
221	0.8713804008
222	0.8695698296
223	0.8683918584
224	0.8682300621
225	0.8674336401
226	0.8663254002
227	0.8651661993
228	0.8642137442
229	0.8630042468
230	0.8619605296
231	0.859401514
232	0.8555038054
233	0.8526990375
234	0.8484580783
235	0.8483847874
236	0.8472431536
237	0.8461143648
238	0.8445806805
239	0.8433839312
240	0.8425333649
241	0.8413974794
242	0.8394946225
243	0.8383716381
244	0.8364675218
245	0.8347679268
246	0.8337097854
247	0.8308169656
248	0.8302589713
249	0.8283148051
250	0.8263448023
251	0.823543871
252	0.8218631482
253	0.8211493459
254	0.8191969889
255	0.8171796645
256	0.8169531855
257	0.8167908788
258	0.8165018975
259	0.8147737453
260	0.812799145
261	0.8114576115
262	0.8104624962
263	0.8082525963
264	0.8067356593
265	0.8058884411
266	0.8041832335
267	0.8031910876
268	0.8022069188
269	0.8003772722
270	0.7994801393
271	0.7990664822
272	0.7976370844
273	0.7969024185
274	0.7943077122
275	0.7925199839
276	0.7915132878
277	0.7904747847
278	0.7896409295
279	0.7884752124
280	0.7876807703
281	0.7856542302
282	0.785098667
283	0.784540211
284	0.7825958808
285	0.7813956552
286	0.7798270006
287	0.7792032416
288	0.7781402401
289	0.7773462157
290	0.7754276342
291	0.7733370245
292	0.7722213137
293	0.7716375412
294	0.7705920576
295	0.7696159118
296	0.7691956685
297	0.7691145072
298	0.7675425618
299	0.7667290046
300	0.7655659411
301	0.7645097451
302	0.7632116089
303	0.7614415615
304	0.7605608829
305	0.7595319837
306	0.7582077978
307	0.7570209315
308	0.7561701744
309	0.7556234755
310	0.7551335032
311	0.7548236942
312	0.7536874989
313	0.7527733411
314	0.7511919428
315	0.7495527756
316	0.7480456785
317	0.7466459185
318	0.7446473446
319	0.7439514678
320	0.7426260422
321	0.7401538194
322	0.7389980251
323	0.7369087305
324	0.7361120138
325	0.7345362755
326	0.7329650143
327	0.7329118179
328	0.7327589253
329	0.7310794077
330	0.7289419358
331	0.7284252897
332	0.7273814997
333	0.7273409505
334	0.7259698849
335	0.7224228326
336	0.7203631741
337	0.7198268
338	0.7193779468
339	0.7187960269
340	0.7182409502
341	0.7182092624
342	0.7171542828
343	0.716601171
344	0.7163282181
345	0.7149891626
346	0.7134109487
347	0.7123142046
348	0.7118228784
349	0.7113548159
350	0.7106366171
351	0.7100153902
352	0.7091852663
353	0.7078391041
354	0.7065587625
355	0.7047917742
356	0.7026954543
357	0.7025413068
358	0.701267907
359	0.7006504302
360	0.7001477372
361	0.7000774667
362	0.6990474398
363	0.6984537669
364	0.69708924
365	0.696495159
366	0.6959590597
367	0.6956489004
368	0.6943921847
369	0.6932554961
370	0.693100683
371	0.6923107715
372	0.6916900153
373	0.6910566684
374	0.690153182
375	0.6891229862
376	0.6876112446
377	0.68730459
378	0.6864143868
379	0.686087888
380	0.6844441349
381	0.6839691747
382	0.6818965486
383	0.6812495113
384	0.6810516317
385	0.6802574356
386	0.6796805371
387	0.6783038632
388	0.6776176916
389	0.677395626
390	0.6763456065
391	0.6763293484
392	0.6752648339
393	0.6737664928
394	0.6731345372
395	0.6727474383
396	0.6723781493
397	0.6717964591
398	0.6707139259
399	0.6691849629
400	0.6691383803
401	0.6678305407
402	0.6670368022
403	0.6670103285
404	0.6660271509
405	0.6644048033
406	0.6627919047
407	0.6622497851
408	0.6615452369
409	0.661390592
410	0.6596078543
411	0.6583100282
412	0.6579476495
413	0.6574243584
414	0.6567873928
415	0.6564108893
416	0.6555529894
417	0.655257161
418	0.6550028013
419	0.6548259118
420	0.654512457
421	0.6533442081
422	0.6517478361
423	0.6517148353
424	0.6516301918
425	0.6511185762
426	0.6498666265
427	0.6496907124
428	0.6489251358
429	0.6478614016
430	0.6475452353
431	0.6464904894
432	0.6462397219
433	0.645319015
434	0.6441550176
435	0.6428614449
436	0.6428377219
437	0.6421362065
438	0.6418443467
439	0.6413424732
440	0.6413403465
441	0.6409864225
442	0.6403063064
443	0.6399235934
444	0.6395747089
445	0.6388654616
446	0.6370451834
447	0.6369785564
448	0.6365292976
449	0.6360846239
450	0.6350551412
451	0.6344627885
452	0.6337064723
453	0.6333318789
454	0.6326120218
455	0.632140239
456	0.6316473071
457	0.6310700798
458	0.6305988572
459	0.6297777325
460	0.6284972052
461	0.6280945549
462	0.6279586827
463	0.6272366042
464	0.6254579878
465	0.6246790745
466	0.6239059541
467	0.6229235957
468	0.6223174968
469	0.6220385367
470	0.621039386
471	0.6205158736
472	0.6202584047
473	0.6194503267
474	0.6185552104
475	0.6178256148
476	0.6171182557
477	0.6166942392
478	0.6157339298
479	0.61541521
480	0.6150429914
481	0.6148302588
482	0.6143996299
483	0.6141524318
484	0.6126918588
485	0.6118029416
486	0.6100586063
487	0.609808168
488	0.609621096
489	0.6089995713
490	0.6079912245
491	0.6075008923
492	0.6067359825
493	0.6059632105
494	0.6051852597
495	0.6050245684
496	0.6047316283
497	0.6040899678
498	0.6038242234
499	0.6038035195
500	0.6034641815
501	0.6024752746
502	0.6011596726
503	0.6006200257
504	0.6004021417
505	0.6002989283
506	0.6000198463
507	0.5984390349
508	0.5977599295
509	0.5977396274
510	0.5963673952
511	0.5958786284
512	0.5950175314
513	0.5942546221
514	0.5937194176
515	0.5923085126
516	0.5922333383
517	0.591478171
518	0.5914158842
519	0.590761993
520	0.5901963526
521	0.5900602765
522	0.5892606201
523	0.5888552852
524	0.5884370857
525	0.5881603404
526	0.587879254
527	0.5873955648
528	0.5872342053
529	0.5871878218
530	0.5868889386
531	0.585927344
532	0.585158224
533	0.5847660894
534	0.5840069866
535	0.5835473235
536	0.5832127595
537	0.5828453286
538	0.5826569525
539	0.582282924
540	0.5820329791
541	0.5818694368
542	0.5812671247
543	0.5808027493
544	0.5799411373
545	0.5796024879
546	0.5784553975
547	0.5779421718
548	0.5761717203
549	0.5751419085
550	0.5739684347
551	0.5727599008
552	0.5723096752
553	0.5717155886
554	0.5713778047
555	0.570771771
556	0.5703903649
557	0.5696463532
558	0.5695484339
559	0.5689590151
560	0.5672711829
561	0.5666556271
562	0.5663186895
563	0.5660687803
564	0.5657557642
565	0.5636866088
566	0.5626891307
567	0.5626460194
568	0.5622554461
569	0.5617554885
570	0.5611108036
571	0.5608523024
572	0.5598722028
573	0.5588501906
574	0.5582719638
575	0.5577779325
576	0.557209797
577	0.5564075733
578	0.5563300209
579	0.5552797278
580	0.5544598912
581	0.5541083403
582	0.5538799405
583	0.5531893209
584	0.5522031115
585	0.551539815
586	0.5509314816
587	0.5503586372
588	0.54971466
589	0.5480349727
590	0.5479713757
591	0.54777056
592	0.5469903099
593	0.546287509
594	0.5452912059
595	0.5445908956
596	0.5444818281
597	0.5442910297
598	0.54391751
599	0.5424905853
600	0.541081085
601	0.5407927498
602	0.5404876485
603	0.5394999116
604	0.5392900672
605	0.5383506612
606	0.5382262673
607	0.5376321313
608	0.537574682
609	0.537117916
610	0.5368964448
611	0.5364748279
612	0.5353781592
613	0.5352223207
614	0.5343105766
615	0.5340677721
616	0.5340502279
617	0.5328060754
618	0.5321996435
619	0.5319346404
620	0.5310587018
621	0.5309225367
622	0.5305802282
623	0.5296397817
624	0.5291827195
625	0.5290866661
626	0.5271719473
627	0.5262859477
628	0.5254891861
629	0.5245717232
630	0.5242707678
631	0.5236468558
632	0.5232910999
633	0.5229916485
634	0.5229115452
635	0.5216194679
636	0.5211385188
637	0.520747833
638	0.5197194511
639	0.5188064805
640	0.5186629065
641	0.51761446
642	0.5173426924
643	0.5162521021
644	0.5159480067
645	0.5158165213
646	0.5155012707
647	0.5150997499
648	0.514611452
649	0.5139720045
650	0.5132350767
651	0.5132261488
652	0.512733558
653	0.5123371152
654	0.5119164254
655	0.5116109568
656	0.5108557683
657	0.5108276427
658	0.5104884179
659	0.5101802173
660	0.5095411733
661	0.5083302882
662	0.5081500645
663	0.5078133638
664	0.5073441323
665	0.5061448797
666	0.5059967501
667	0.5055841134
668	0.5048307575
669	0.5046056632
670	0.5032018726
671	0.5031554543
672	0.5018488645
673	0.5010321639
674	0.5010063735
675	0.4997186544
676	0.4992317546
677	0.4989910102
678	0.4977981849
679	0.4973577007
680	0.4962259089
681	0.4954723685
682	0.4953298782
683	0.4951667491
684	0.4941333603
685	0.4935702793
686	0.4934903724
687	0.4931154354
688	0.4930412773
689	0.4922619226
690	0.4920719993
691	0.4904057929
692	0.4902072364
693	0.4892344922
694	0.4888261759
695	0.4881905118
696	0.4876688993
697	0.4872209147
698	0.4868259591
699	0.4859526775
700	0.4857971272
701	0.4852722418
702	0.4852037817
703	0.4848339378
704	0.4846192482
705	0.4838317295
706	0.483447615
707	0.4829644625
708	0.4822814656
709	0.4821179876
710	0.4807642404
711	0.4803567566
712	0.4787667941
713	0.478387032
714	0.478290414
715	0.478246512
716	0.47792429
717	0.477651956
718	0.4770106581
719	0.475967025
720	0.47594237
721	0.4752544089
722	0.4749626003
723	0.4747187238
724	0.4746685401
725	0.4740583196
726	0.4739454114
727	0.4735604377
728	0.4730730564
729	0.4716521898
730	0.4714305987
731	0.4711925025
732	0.4706024812
733	0.4700557912
734	0.469156814
735	0.4689239846
736	0.4671896831
737	0.4666560818
738	0.4664386636
739	0.4658076414
740	0.4656120604
741	0.4653562903
742	0.4640551234
743	0.4634114165
744	0.4626489554
745	0.4621783405
746	0.4621645727
747	0.4613108386
748	0.4610326728
749	0.4608406857
750	0.4599259095
751	0.459732737
752	0.457995268
753	0.4576114695
754	0.4572220009
755	0.4569049982
756	0.456041427
757	0.4550026073
758	0.4546399295
759	0.4539167446
760	0.4539077165
761	0.452684275
762	0.4518573039
763	0.4517332721
764	0.4514373217
765	0.4513521328
766	0.4511837086
767	0.4505512357
768	0.4503242008
769	0.4490978716
770	0.4490944927
771	0.4486681821
772	0.4481211098
773	0.4478746447
774	0.4474371452
775	0.4470491422
776	0.4466422742
777	0.4460378358
778	0.4451831821
779	0.4451790248
780	0.4449983307
781	0.4448313139
782	0.4440384181
783	0.4439663036
784	0.4429216872
785	0.4426891403
786	0.4425973345
787	0.442097296
788	0.4420267456
789	0.4406136785
790	0.4400708081
791	0.4399858418
792	0.4395268972
793	0.4386923373
794	0.4376541945
795	0.4367892287
796	0.4364540874
797	0.4361772417
798	0.43546434
799	0.4352644822
800	0.434484122
801	0.4337886683
802	0.4326585962
803	0.4325241992
804	0.4320785814
805	0.4311971777
806	0.4311061235
807	0.4308494281
808	0.4298085649
809	0.4288507118
810	0.4284036808
811	0.4282574895
812	0.4282411679
813	0.4276589828
814	0.4275119254
815	0.4272229134
816	0.4271510468
817	0.4265145929
818	0.4261174276
819	0.4247244366
820	0.4244643459
821	0.4232369179
822	0.4227924489
823	0.4223270795
824	0.4219480604
825	0.4210107587
826	0.4208409648
827	0.4203124826
828	0.4201696189
829	0.4197940737
830	0.4192729861
831	0.4190879691
832	0.4188079416
833	0.4183839857
834	0.4183360587
835	0.418326704
836	0.4179959475
837	0.4175201982
838	0.4172187174
839	0.4167128125
840	0.4161414246
841	0.4160854985
842	0.4159577444
843	0.4156013218
844	0.4154032299
845	0.4150623035
846	0.4150170828
847	0.4147967386
848	0.4145031881
849	0.4137465785
850	0.4135743809
851	0.4130229439
852	0.4129920341
853	0.4125953138
854	0.4123267567
855	0.4120954936
856	0.4114807586
857	0.4112805202
858	0.4105204747
859	0.4097737213
860	0.4095780888
861	0.4095247946
862	0.4093851411
863	0.4085048416
864	0.408255584
865	0.407536481
866	0.4073605331
867	0.4063366283
868	0.4059767775
869	0.4057881961
870	0.4053308506
871	0.4051863885
872	0.40503135
873	0.4046979916
874	0.4042476362
875	0.4040556616
876	0.4023283161
877	0.4017438139
878	0.4012827258
879	0.401064416
880	0.4005559738
881	0.4004709378
882	0.4001396287
883	0.3993859626
884	0.3989508307
885	0.398048771
886	0.3979663428
887	0.3978814955
888	0.3975900333
889	0.3972724036
890	0.3971161929
891	0.3967777463
892	0.3965911499
893	0.3958493292
894	0.3952038213
895	0.3945373803
896	0.3943754632
897	0.393408374
898	0.3933022221
899	0.3927920016
900	0.3926071683
901	0.3920683163
902	0.3917749891
903	0.391663012
904	0.3916069309
905	0.3914063765
906	0.3912129688
907	0.3909093977
908	0.3904079057
909	0.3900578966
910	0.3894555175
911	0.3886000457
912	0.3884288684
913	0.3872644773
914	0.3867611843
915	0.3861373347
916	0.3858125418
917	0.3850675672
918	0.3849868533
919	0.3844248875
920	0.3842811954
921	0.3837690367
922	0.38357653
923	0.3827948751
924	0.3819496959
925	0.381934408
926	0.3809197173
927	0.3807228811
928	0.3799209761
929	0.3799038114
930	0.3791518025
931	0.378729006
932	0.3782163062
933	0.3776361174
934	0.3771843119
935	0.3765073328
936	0.3756687717
937	0.3747675093
938	0.3747369337
939	0.3744007338
940	0.3741014485
941	0.3738207208
942	0.3732898135
943	0.3725644455
944	0.3719131754
945	0.3717455772
946	0.3713562513
947	0.3707225278
948	0.3702675989
949	0.3700705079
950	0.3697060162
951	0.3685144935
952	0.3683621493
953	0.3683166617
954	0.3682405287
955	0.3680088521
956	0.367797281
957	0.3677195639
958	0.3671894646
959	0.3664947534
960	0.3664065172
961	0.3660210082
962	0.3658112436
963	0.3655633233
964	0.3650209207
965	0.3644114738
966	0.3638375794
967	0.3633002586
968	0.3630477694
969	0.3626990991
970	0.3623710942
971	0.3618938663
972	0.3615513115
973	0.36012482
974	0.3597618421
975	0.3593214963
976	0.3589869129
977	0.3584869267
978	0.3582711019
979	0.3581158567
980	0.3572618575
981	0.3569005273
982	0.3557569903
983	0.35545915
984	0.3553902077
985	0.3550722459
986	0.3547091979
987	0.3544853966
988	0.354084265
989	0.3530105981
990	0.3528130571
991	0.3521411189
992	0.3514960212
993	0.3506657026
994	0.350299932
995	0.3493771959
996	0.3492640147
997	0.3488640114
998	0.34880773
999	0.3482875705
