iter	Passed	Remaining
402	10999	2647
403	11025	2619
404	11047	2591
405	11069	2562
406	11094	2535
407	11116	2506
408	11140	2478
409	11165	2450
410	11190	2423
411	11213	2395
412	11237	2367
413	11262	2339
414	11291	2312
415	11317	2285
416	11344	2257
417	11374	2231
418	11418	2207
419	11462	2183
420	11498	2157
421	11549	2134
422	11585	2108
423	11610	2081
424	11631	2052
425	11658	2025
426	11686	1997
427	11709	1969
428	11732	1941
429	11762	1914
430	11787	1887
431	11809	1858
432	11831	1830
433	11853	1802
434	11874	1774
435	11896	1746
436	11920	1718
437	11951	1691
438	11973	1663
439	11995	1635
440	12017	1607
441	12040	1579
442	12063	1552
443	12085	1524
444	12109	1496
445	12134	1469
446	12158	1441
447	12183	1414
448	12207	1386
449	12231	1359
450	12254	1331
451	12276	1303
452	12298	1276
453	12321	1248
454	12348	1221
455	12371	1193
456	12399	1166
457	12424	1139
458	12451	1112
459	12479	1085
460	12507	1058
461	12540	1031
462	12584	1005
463	12623	979
464	12661	952
465	12698	926
466	12732	899
467	12771	873
468	12798	845
469	12821	818
470	12850	791
471	12871	763
472	12894	736
473	12919	708
474	12945	681
475	12967	653
476	12995	626
477	13019	599
478	13041	571
479	13066	544
480	13088	516
481	13111	489
482	13134	462
483	13157	434
484	13179	407
485	13203	380
486	13226	353
487	13249	325
488	13271	298
489	13295	271
490	13317	244
491	13345	217
492	13369	189
493	13391	162
494	13418	135
495	13441	108
496	13465	81
497	13487	54
498	13510	27
499	13531	0
